Latitude,Longitude
38.39979683,-110.79162018
38.39979912,-110.79161999
38.39980127,-110.79161926
38.39980283,-110.79161837
38.39971257,-110.79161881
38.39975224,-110.79157186
38.39980467,-110.79161623
38.3998049,-110.79161534
38.3998046,-110.79161493
38.39980356,-110.79161476
38.39980186,-110.79161456
38.39980064,-110.79161396
38.39979985,-110.7916136
38.39979916,-110.79161361
38.3997997,-110.7916136
38.39980106,-110.79161304
38.39980201,-110.79161285
38.39980208,-110.79161298
38.39980214,-110.79161235
38.39980283,-110.79161154
38.39980163,-110.79160832
38.39979937,-110.79160503
38.39979942,-110.79160594
38.39979759,-110.79160563
38.39979637,-110.79160527
38.39979411,-110.79160434
38.39979429,-110.79160351
38.39979419,-110.7916034
38.39979516,-110.79160382
38.39979601,-110.79160445
38.39979482,-110.79160571
38.39979365,-110.79160645
38.39979194,-110.7916066
38.39979032,-110.79160611
38.39978905,-110.79160481
38.39978845,-110.79160203
38.39978823,-110.79159995
38.39978818,-110.79159869
38.39978696,-110.79159858
38.39978322,-110.79159942
38.39978222,-110.79160105
38.3997798,-110.79160169
38.39977722,-110.79160293
38.39977526,-110.79160235
38.3997736,-110.79160269
38.39976832,-110.79160394
38.39976036,-110.7916053
38.39974311,-110.7916117
38.39971858,-110.79162192
38.39969274,-110.79163384
38.39966538,-110.79164801
38.39963744,-110.79166288
38.3996096,-110.79167725
38.39958143,-110.7916922
38.39955332,-110.79170753
38.39952477,-110.79172257
38.39949519,-110.79173799
38.39946371,-110.7917529
38.39942923,-110.79176792
38.39939245,-110.79178448
38.39935569,-110.79179979
38.39932059,-110.7918144
38.39928786,-110.79182739
38.39925618,-110.7918395
38.39922235,-110.79185294
38.39918752,-110.79186544
38.39915489,-110.79187577
38.39912338,-110.79188333
38.39396075,-110.79031283
38.39395866,-110.79031452
38.39396802,-110.79027971
38.39403321,-110.79033399
38.39400974,-110.79034724
38.39401308,-110.79027727
38.39397572,-110.79018904
38.39398765,-110.79020241
38.3939986,-110.79021212
38.39400334,-110.79021773
38.3940039,-110.79022144
38.39400193,-110.7902249
38.39399735,-110.7902276
38.39398474,-110.79023498
38.39397746,-110.79024389
38.39397613,-110.79025108
38.39397403,-110.79025645
38.39397181,-110.79026042
38.39396968,-110.79026397
38.39396927,-110.79025937
38.39397117,-110.79025551
38.39397416,-110.79025757
38.39397817,-110.7902662
38.39397957,-110.79027299
38.39398006,-110.79027011
38.39398062,-110.79025893
38.39398266,-110.79024427
38.39398636,-110.79022978
38.39399182,-110.79021181
38.39399862,-110.79019222
38.39400355,-110.79017837
38.39400855,-110.79016278
38.39401195,-110.79014184
38.39401482,-110.79012249
38.3940204,-110.79010362
38.39403044,-110.79008394
38.39404204,-110.79006317
38.39405231,-110.79004093
38.39405791,-110.79001621
38.39406021,-110.78999556
38.39406017,-110.78998045
38.39405914,-110.7899654
38.3940601,-110.7899484
38.39406227,-110.78993045
38.39406368,-110.78991478
38.39406467,-110.78990029
38.39406624,-110.78988659
38.39406959,-110.78987342
38.39407278,-110.78985931
38.39407558,-110.78984714
38.39407863,-110.78983631
38.39408238,-110.78982544
38.39408714,-110.78981381
38.39409138,-110.78980107
38.3940962,-110.78978821
38.39410059,-110.78977656
38.39410432,-110.7897683
38.39410506,-110.78976435
38.3941047,-110.7897639
38.39410315,-110.78976378
38.39410224,-110.78976549
38.39410327,-110.78976709
38.3941069,-110.78976201
38.39411117,-110.78975377
38.39411362,-110.78974528
38.39411623,-110.7897337
38.39411842,-110.78972349
38.39411995,-110.78971147
38.39412122,-110.78969959
38.39412271,-110.78968876
38.39412392,-110.78967725
38.39412445,-110.78966746
38.39412327,-110.78966097
38.39411962,-110.78965249
38.39411324,-110.78964261
38.39410844,-110.78963532
38.39410617,-110.78963372
38.39410438,-110.78963082
38.39410332,-110.78962684
38.39410341,-110.78962579
38.39409909,-110.78962138
38.39409592,-110.78961828
38.39409985,-110.78962533
38.39410134,-110.78962849
38.39409996,-110.78962899
38.39409931,-110.78962972
38.39409844,-110.78963074
38.39409645,-110.7896324
38.39409389,-110.78963304
38.39409213,-110.7896301
38.39409252,-110.78962776
38.39409463,-110.78962585
38.39409622,-110.78962441
38.3940969,-110.78962072
38.39409469,-110.7896153
38.39409271,-110.78960936
38.39409212,-110.78960609
38.39409271,-110.78960391
38.39409156,-110.78960033
38.39409221,-110.78959796
38.39409318,-110.78959998
38.39409252,-110.78960124
38.39409322,-110.78960306
38.39409582,-110.78960538
38.39409641,-110.78960432
38.39409809,-110.78960387
38.39409892,-110.7896031
38.3940986,-110.78960279
38.39409795,-110.78960219
38.39409692,-110.78960096
38.39409642,-110.78960051
38.39409614,-110.78960042
38.39409719,-110.78959975
38.39409677,-110.78959871
38.39409617,-110.78959814
38.39409419,-110.7895986
38.39409251,-110.78959911
38.39409219,-110.78960047
38.39409257,-110.78960098
38.39409515,-110.7896026
38.39409729,-110.78960337
38.3940993,-110.78960458
38.39410147,-110.78960445
38.39410198,-110.78960615
38.39410372,-110.78960838
38.39410157,-110.78960845
38.39409901,-110.7896088
38.39410128,-110.78960655
38.39410728,-110.78960493
38.39410987,-110.7896031
38.39410943,-110.78960319
38.3941084,-110.78960298
38.39410687,-110.78960388
38.39410582,-110.78960419
38.39410504,-110.78960508
38.39410135,-110.78960492
38.39409974,-110.78960371
38.39409845,-110.78960082
38.39409884,-110.78959717
38.39409984,-110.78959634
38.39409982,-110.78959771
38.39409976,-110.78959808
38.39409963,-110.78959778
38.39410062,-110.78959649
38.39410254,-110.78959313
38.39410383,-110.78959059
38.39410449,-110.78958912
38.39410562,-110.78958743
38.39410676,-110.78958642
38.3941085,-110.78958272
38.39411016,-110.78958034
38.39410962,-110.78958049
38.39410908,-110.78958056
38.39410892,-110.78958203
38.3941074,-110.78958365
38.39410718,-110.78958525
38.39410481,-110.78958887
38.39410258,-110.78959197
38.39410097,-110.78959419
38.39409945,-110.78959504
38.39409866,-110.78959545
38.39409823,-110.78959535
38.39409754,-110.78959515
38.39409723,-110.78959464
38.39409814,-110.78959319
38.39410007,-110.78959302
38.39410112,-110.78959228
38.39410053,-110.7895919
38.39409945,-110.789593
38.39409834,-110.78959352
38.39409765,-110.78959406
38.39409803,-110.78959455
38.39409809,-110.78959637
38.39409743,-110.78959731
38.39409688,-110.78959724
38.39409644,-110.78959748
38.39409623,-110.78959653
38.39409567,-110.78959641
38.39409443,-110.78959648
38.39409419,-110.78959676
38.39409402,-110.7895949
38.39409636,-110.78959131
38.39409908,-110.78958408
38.39410273,-110.78957589
38.39410495,-110.78956521
38.39410655,-110.78955319
38.39410882,-110.78954165
38.39411151,-110.78953014
38.3941143,-110.78952141
38.3941154,-110.78951305
38.39411541,-110.7895014
38.3941163,-110.78948761
38.39411734,-110.78947381
38.39411884,-110.78946162
38.39412045,-110.78945074
38.39412166,-110.78943678
38.39412197,-110.78942809
38.39411982,-110.78942727
38.39411758,-110.78942864
38.39411737,-110.78942804
38.39411855,-110.78942685
38.39411952,-110.78942484
38.39412038,-110.78942339
38.39411971,-110.78942264
38.39412214,-110.78942273
38.39412471,-110.78941936
38.39412781,-110.78941272
38.39413158,-110.78940153
38.3941341,-110.78939216
38.39413559,-110.78938541
38.39413725,-110.78937537
38.39413943,-110.78936519
38.39414359,-110.78935362
38.39414898,-110.78933937
38.39471959,-110.78774099
38.39473063,-110.78774084
38.39457393,-110.78772292
38.39451186,-110.78775407
38.39449211,-110.78767752
38.3945087,-110.78767977
38.39452259,-110.78768304
38.39453129,-110.78768597
38.39453676,-110.78768827
38.39454606,-110.787682
38.39455761,-110.78767375
38.39456788,-110.78766749
38.39457666,-110.78766449
38.39458281,-110.78766172
38.39459014,-110.78766053
38.39459612,-110.78766031
38.39459938,-110.78766138
38.39460388,-110.7876634
38.3946084,-110.78766363
38.39461145,-110.78766465
38.39461253,-110.78766526
38.39461151,-110.78766509
38.39460332,-110.78766295
38.3945979,-110.78766114
38.39459544,-110.78766093
38.39459712,-110.78765343
38.39459959,-110.78764517
38.39460311,-110.78763667
38.39460595,-110.78763039
38.39460617,-110.78762674
38.39460555,-110.7876226
38.39460452,-110.78762147
38.39460552,-110.78762288
38.39461106,-110.78762325
38.39461853,-110.78761742
38.39462597,-110.78760482
38.39463344,-110.78758773
38.39463964,-110.78756648
38.39464637,-110.78754642
38.39465548,-110.78752966
38.39466361,-110.78751502
38.39466885,-110.7875016
38.39467147,-110.78748893
38.39467305,-110.78747621
38.39467483,-110.78746616
38.39467762,-110.78745676
38.39468047,-110.78744449
38.39468283,-110.78743187
38.3946864,-110.78741608
38.39469056,-110.78739959
38.39469694,-110.78738608
38.39470337,-110.78737244
38.3947086,-110.78736092
38.39471448,-110.78735014
38.39471898,-110.78734324
38.39472356,-110.78733674
38.3947288,-110.78732736
38.39473561,-110.78731456
38.39474397,-110.78729861
38.3947531,-110.78728331
38.39488583,-110.78687262
38.39487497,-110.7869006
38.39505411,-110.78677448
38.3950528,-110.78677524
38.39505062,-110.78677607
38.395048,-110.78677694
38.39504588,-110.78677848
38.39504368,-110.7867803
38.3950416,-110.78678145
38.39503891,-110.78678228
38.39503659,-110.78678307
38.39503457,-110.78678374
38.39503211,-110.78678493
38.39503033,-110.78678598
38.39502924,-110.78678706
38.39502853,-110.78678778
38.39502813,-110.78678823
38.3950279,-110.78678848
38.39498906,-110.78682478
38.39494952,-110.78686094
38.39493736,-110.78687164
38.39492851,-110.7868761
38.39492323,-110.78687746
38.3949241,-110.786882
38.39492761,-110.78688842
38.39493444,-110.78689093
38.39494289,-110.78689193
38.39494901,-110.78689158
38.39495232,-110.78689258
38.39495358,-110.78689489
38.39495751,-110.78689926
38.3949625,-110.78690294
38.39496447,-110.78690419
38.39496383,-110.78690472
38.39496028,-110.78690493
38.3949554,-110.78690506
38.39495122,-110.7869074
38.39494935,-110.78690937
38.39494846,-110.78691137
38.39494518,-110.78691252
38.39494301,-110.78691231
38.39494269,-110.78691208
38.3949433,-110.78690957
38.39494205,-110.78690601
38.39494378,-110.78690543
38.39494952,-110.78690785
38.39495296,-110.78690959
38.39495255,-110.78690913
38.39495304,-110.78690784
38.39495355,-110.78690671
38.39495298,-110.78690491
38.39495215,-110.78690395
38.39495114,-110.78690316
38.39495138,-110.78690304
38.39495113,-110.78690274
38.39495066,-110.78690165
38.39494965,-110.78690083
38.39495022,-110.78690095
38.39494918,-110.78690143
38.39494817,-110.78690189
38.39494798,-110.78690327
38.39494794,-110.78690389
38.39494821,-110.78690406
38.39494853,-110.78690487
38.39494895,-110.78690642
38.39495045,-110.78690502
38.39495065,-110.78690385
38.3949505,-110.78690311
38.39495112,-110.78690266
38.39495097,-110.78690199
38.3949509,-110.78690188
38.39495118,-110.78690182
38.39495212,-110.78690162
38.39495305,-110.78690183
38.39495558,-110.78690269
